board_number,board_name,system,region,city,website,supervised,source,source_published,retrieved
B28010,Algoma District School Board,public,North Region,Sault Ste Marie,http://www.adsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67202,Algonquin and Lakeshore Catholic District School Board,catholic,East Region,Napanee,http://www.alcdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66010,Avon Maitland District School Board,public,West Region,Seaforth,https://amdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66001,Bluewater District School Board,public,West Region,Chesley,http://www.bwdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67164,Brant Haldimand Norfolk Catholic District School Board,catholic,West Region,Brantford,http://www.bhncdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67008,Bruce-Grey Catholic District School Board,catholic,West Region,Hanover,http://www.bgcdsb.org,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67172,Catholic District School Board of Eastern Ontario,catholic,East Region,Kemptville,http://www.cdsbeo.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28002,District School Board Ontario North East,public,North Region,Timmins,http://www.dsb1.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66150,District School Board of Niagara,public,West Region,St Catharines,http://www.dsbn.org,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67083,Dufferin-Peel Catholic District School Board,catholic,Central Region,Mississauga,http://www.dpcdsb.org,1,ministry-board-contact-list,2026-08-19,2026-08-27
B67105,Durham Catholic District School Board,catholic,East Region,Oshawa,http://www.dcdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66060,Durham District School Board,public,East Region,Whitby,http://www.ddsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66168,Grand Erie District School Board,public,West Region,Brantford,http://www.granderie.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66028,Greater Essex County District School Board,public,West Region,Windsor,http://www.publicboard.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67113,Halton Catholic District School Board,catholic,Central Region,Burlington,http://hcdsb.org,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66133,Halton District School Board,public,Central Region,Burlington,http://www.hdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67121,Hamilton-Wentworth Catholic District School Board,catholic,West Region,Hamilton,http://www.hwcdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66141,Hamilton-Wentworth District School Board,public,West Region,Hamilton,http://www.hwdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66222,Hastings & Prince Edward District School Board,public,East Region,Belleville,http://www.hpedsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67016,Huron Perth Catholic District School Board,catholic,West Region,Dublin,http://www.huronperthcatholic.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29025,Huron-Superior Catholic District School Board,catholic,North Region,Sault Ste Marie,http://www.hscdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66079,Kawartha Pine Ridge District School Board,public,East Region,Peterborough,http://www.kprschools.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28045,Keewatin-Patricia District School Board,public,North Region,Kenora,http://www.kpdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29050,Kenora Catholic District School Board,catholic,North Region,Kenora,http://www.kcdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28061,Lakehead District School Board,public,North Region,Thunder Bay,http://www.lakeheadschools.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66036,Lambton Kent District School Board,public,West Region,Sarnia,http://www.lkdsb.net,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66206,Limestone District School Board,public,East Region,Kingston,http://www.limestone.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67032,London District Catholic School Board,catholic,West Region,London,http://ldcsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28037,Near North District School Board,public,North Region,North Bay,http://www.nearnorthschools.ca,1,ministry-board-contact-list,2026-08-19,2026-08-27
B67156,Niagara Catholic District School Board,catholic,West Region,Welland,http://www.niagaracatholic.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29017,Nipissing-Parry Sound Catholic District School Board,catholic,North Region,North Bay,http://www.npsc.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29009,Northeastern Catholic District School Board,catholic,North Region,Timmins,http://ncdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29041,Northwest Catholic District School Board,catholic,North Region,Fort Frances,http://www.tncdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67180,Ottawa Catholic School Board,catholic,East Region,Nepean,http://www.ocsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66184,Ottawa-Carleton District School Board,public,East Region,Nepean,http://www.ocdsb.ca,1,ministry-board-contact-list,2026-08-19,2026-08-27
B66125,Peel District School Board,public,Central Region,Mississauga,http://www.peelschools.org,1,ministry-board-contact-list,2026-08-19,2026-08-27
B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,catholic,East Region,Peterborough,http://www.pvnccdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28029,Rainbow District School Board,public,North Region,Sudbury,http://www.rainbowschools.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28053,Rainy River District School Board,public,North Region,Fort Frances,http://www.rrdsb.com,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67199,Renfrew County Catholic District School Board,catholic,East Region,Pembroke,https://rccdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66214,Renfrew County District School Board,public,East Region,Pembroke,http://www.renfrew.edu.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66109,Simcoe County District School Board,public,Central Region,Midhurst,http://www.scdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67091,Simcoe Muskoka Catholic District School Board,catholic,Central Region,Barrie,http://www.smcdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67040,St Clair Catholic District School Board,catholic,West Region,Wallaceburg,http://www.st-clair.net,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29033,Sudbury Catholic District School Board,catholic,North Region,Sudbury,http://www.scdsb.edu.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B29076,Superior North Catholic District School Board,catholic,North Region,Terrace Bay,http://www.sncdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B28070,Superior-Greenstone District School Board,public,North Region,Marathon,http://www.sgdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66044,Thames Valley District School Board,public,West Region,London,http://www.tvdsb.on.ca,1,ministry-board-contact-list,2026-08-19,2026-08-27
B29068,Thunder Bay Catholic District School Board,catholic,North Region,Thunder Bay,http://www.tbcschools.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67059,Toronto Catholic District School Board,catholic,Toronto Region,Toronto,http://www.tcdsb.org,1,ministry-board-contact-list,2026-08-19,2026-08-27
B66052,Toronto District School Board,public,Toronto Region,Toronto,http://www.tdsb.on.ca,1,ministry-board-contact-list,2026-08-19,2026-08-27
B66087,Trillium Lakelands District School Board,public,Central Region,Lindsay,http://www.tldsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66192,Upper Canada District School Board,public,East Region,Brockville,http://www.ucdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66117,Upper Grand District School Board,public,West Region,Guelph,https://www.ugdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67148,Waterloo Catholic District School Board,catholic,West Region,Kitchener,http://www.wcdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B66176,Waterloo Region District School Board,public,West Region,Kitchener,http://www.wrdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67130,Wellington Catholic District School Board,catholic,West Region,Guelph,http://www.wellingtoncdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67024,Windsor-Essex Catholic District School Board,catholic,West Region,Windsor,http://www.wecdsb.on.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
B67075,York Catholic District School Board,catholic,Central Region,Aurora,http://www.ycdsb.ca,1,ministry-board-contact-list,2026-08-19,2026-08-27
B66095,York Region District School Board,public,Central Region,Aurora,http://www.yrdsb.ca,0,ministry-board-contact-list,2026-08-19,2026-08-27
