Region,Board Number,Board Name,Board Language,Board Type,Suite,PO Box,Street,City,Province,Postal Code,Phone Number,Fax,Website
North Region,B28010,Algoma District School Board,English,Pub Dist Sch Brd (E/F),,,644 Albert St E,Sault Ste Marie,Ontario,P6A2K7,705-945-7111,705-942-2540,http://www.adsb.on.ca
East Region,B67202,Algonquin and Lakeshore Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,151 Dairy Ave,Napanee,Ontario,K7R4B2,613-354-2255,613-354-0351,http://www.alcdsb.on.ca
West Region,B66010,Avon Maitland District School Board,English,Pub Dist Sch Brd (E/F),,,62 Chalk St N,Seaforth,Ontario,N0K1W0,519-527-0111,519-527-0222,https://amdsb.ca
Toronto Region,B80012,Bloorview School Authority,English,Provincial/Hospital,,,150 Kilgour Road,Toronto,Ontario,M4G1R8,416-424-3831,416-425-2981,www.bloorviewschool.ca
West Region,B66001,Bluewater District School Board,English,Pub Dist Sch Brd (E/F),,Box 190,351 1st Ave N,Chesley,Ontario,N0G1L0,519-363-2014,519-370-2909,http://www.bwdsb.on.ca
West Region,B67164,Brant Haldimand Norfolk Catholic District School Board,English,Cath Dist Sch Brd (E/F),,Box 217,322 Fairview Dr,Brantford,Ontario,N3T5M8,519-756-6505,519-756-9913,http://www.bhncdsb.ca
West Region,B67008,Bruce-Grey Catholic District School Board,English,Cath Dist Sch Brd (E/F),,,799 16th Ave,Hanover,Ontario,N4N3A1,519-364-5820,519-364-5882,http://www.bgcdsb.org
East Region,B80055,CHEO School Authority,English,Provincial/Hospital,,,395 Smyth Rd,Ottawa,Ontario,K2H8L2,613-737-0871,613-523-5167,https://www.cheo.on.ca/en/clinics-services-programs/school.aspx
East Region,B67172,Catholic District School Board of Eastern Ontario,English,Cath Dist Sch Brd (E/F),,Box 2222,2755 43 Hwy,Kemptville,Ontario,K0G1J0,613-258-7757,613-258-5067,http://www.cdsbeo.on.ca
East Region,B66311,Conseil des écoles publiques de l'Est de l'Ontario,French,Pub Dist Sch Brd (E/F),,,2445 Saint-Laurent boulevard,Ottawa,Ontario,K1G6C3,613-742-8960,613-747-3810,http://www.cepeo.on.ca
Toronto Region,B66303,Conseil scolaire Viamonde,French,Pub Dist Sch Brd (E/F),,,116 Cornelius Pkwy,North York,Ontario,M6L2K5,416-614-0844,416-397-2012,https://csviamonde.ca/
Toronto Region,B67318,Conseil scolaire catholique MonAvenir,French,Cath Dist Sch Brd (E/F),,,110 Drewry avenue,Toronto,Ontario,M2M1C8,416-397-6564,416-397-6576,http://www.cscmonavenir.ca
