census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3511035,Addington Highlands,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,county-inference
3511035,Addington Highlands,Lennox and Addington,public,B66206,Limestone District School Board,0,1,schools
3539047,Adelaide-Metcalfe,Middlesex,catholic,B67032,London District Catholic School Board,0,1,county-inference
3539047,Adelaide-Metcalfe,Middlesex,public,B66044,Thames Valley District School Board,0,1,schools
3543003,Adjala-Tosorontio,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,4,crawl|harvest|schools|sections
3543003,Adjala-Tosorontio,Simcoe,public,B66109,Simcoe County District School Board,0,4,crawl|harvest|schools|sections
3547043,Admaston/Bromley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,schools
3547043,Admaston/Bromley,Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3518005,Ajax,Durham,catholic,B67105,Durham Catholic District School Board,0,1,schools
3518005,Ajax,Durham,public,B66060,Durham District School Board,0,1,schools
3559011,Alberton,Rainy River,catholic,B29041,Northwest Catholic District School Board,0,1,county-inference
3559011,Alberton,Rainy River,public,B28053,Rainy River District School Board,0,1,county-inference
3502023,Alfred and Plantagenet,Prescott and Russell,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,crawl
3502023,Alfred and Plantagenet,Prescott and Russell,public,B66192,Upper Canada District School Board,0,2,crawl|sections
3546018,Algonquin Highlands,Haliburton,public,B66087,Trillium Lakelands District School Board,0,3,crawl|harvest|sections
3514024,Alnwick/Haldimand,Northumberland,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,0,1,schools
3514024,Alnwick/Haldimand,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,0,1,schools
3522008,Amaranth,Dufferin,catholic,B67083,Dufferin-Peel Catholic District School Board,0,1,county-inference
3522008,Amaranth,Dufferin,public,B66117,Upper Grand District School Board,0,3,crawl|harvest|schools
3537028,Amherstburg,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,0,2,schools|sections
3537028,Amherstburg,Essex,public,B66028,Greater Essex County District School Board,0,2,crawl|schools
3549019,Armour,Parry Sound,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,0,1,crawl
3549019,Armour,Parry Sound,public,B28037,Near North District School Board,0,1,crawl
3554036,Armstrong,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,2,crawl|sections
3554036,Armstrong,Timiskaming,public,B28002,District School Board Ontario North East,0,2,crawl|sections
3547002,Arnprior,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,3,crawl|schools|sections
3547002,Arnprior,Renfrew,public,B66214,Renfrew County District School Board,0,3,crawl|schools|sections
3541043,Arran-Elderslie,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,0,1,county-inference
3541043,Arran-Elderslie,Bruce,public,B66001,Bluewater District School Board,0,1,schools
3540063,Ashfield-Colborne-Wawanosh,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,1,county-inference
3540063,Ashfield-Colborne-Wawanosh,Huron,public,B66010,Avon Maitland District School Board,0,1,schools
3515003,Asphodel-Norwood,Peterborough,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,0,2,harvest|schools
3515003,Asphodel-Norwood,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,0,2,crawl|schools
3551011,Assiginack,Manitoulin,public,B28029,Rainbow District School Board,0,3,crawl|harvest|schools
3507042,Athens,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3507042,Athens,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,1,schools
3559001,Atikokan,Rainy River,catholic,B29041,Northwest Catholic District School Board,0,1,schools
3559001,Atikokan,Rainy River,public,B28053,Rainy River District School Board,0,1,schools
3507006,Augusta,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3507006,Augusta,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,1,schools
3519046,Aurora,York,catholic,B67075,York Catholic District School Board,0,2,harvest|schools
3519046,Aurora,York,public,B66095,York Region District School Board,0,2,harvest|schools
3534011,Aylmer,Elgin,catholic,B67032,London District Catholic School Board,0,1,schools
3534011,Aylmer,Elgin,public,B66044,Thames Valley District School Board,0,1,schools
3512061,Bancroft,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,schools
3512061,Bancroft,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,schools
3543042,Barrie,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,2,harvest|schools
3543042,Barrie,Simcoe,public,B66109,Simcoe County District School Board,0,2,harvest|schools
3534005,Bayham,Elgin,catholic,B67032,London District Catholic School Board,0,2,crawl|sections
3534005,Bayham,Elgin,public,B66044,Thames Valley District School Board,0,2,crawl|schools
3509024,Beckwith,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3509024,Beckwith,Lanark,public,B66192,Upper Canada District School Board,0,1,schools
3512005,Belleville,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,2,crawl|schools
3512005,Belleville,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,schools
3551021,Billings,Manitoulin,public,B28029,Rainbow District School Board,0,1,schools
3556014,Black River-Matheson,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3556014,Black River-Matheson,Cochrane,public,B28002,District School Board Ontario North East,0,1,schools
3532045,Blandford-Blenheim,Oxford,catholic,B67032,London District Catholic School Board,0,1,county-inference
3532045,Blandford-Blenheim,Oxford,public,B66044,Thames Valley District School Board,0,1,schools
3557038,Blind River,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,schools
3557038,Blind River,Algoma,public,B28010,Algoma District School Board,0,1,schools
3540010,Bluewater,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,4,crawl|harvest|schools|sections
3540010,Bluewater,Huron,public,B66010,Avon Maitland District School Board,0,4,crawl|harvest|schools|sections
3548027,Bonfield,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,0,1,harvest
3548027,Bonfield,Nipissing,public,B28037,Near North District School Board,0,2,crawl|harvest
3547035,Bonnechere Valley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,schools
3547035,Bonnechere Valley,Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3544018,Bracebridge,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,schools
