census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3511035,Addington Highlands,Lennox and Addington,public,B66206,Limestone District School Board,2,385
3539047,Adelaide-Metcalfe,Middlesex,public,B66044,Thames Valley District School Board,1,180
3543003,Adjala-Tosorontio,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,270
3543003,Adjala-Tosorontio,Simcoe,public,B66109,Simcoe County District School Board,2,670
3547043,Admaston/Bromley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,115
3547043,Admaston/Bromley,Renfrew,public,B66214,Renfrew County District School Board,1,415
3518005,Ajax,Durham,catholic,B67105,Durham Catholic District School Board,12,4855
3518005,Ajax,Durham,public,B66060,Durham District School Board,27,15185
3514024,Alnwick/Haldimand,Northumberland,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,1,220
3514024,Alnwick/Haldimand,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,2,480
3522008,Amaranth,Dufferin,public,B66117,Upper Grand District School Board,1,245
3537028,Amherstburg,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,2,1110
3537028,Amherstburg,Essex,public,B66028,Greater Essex County District School Board,3,1345
3547002,Arnprior,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,2,765
3547002,Arnprior,Renfrew,public,B66214,Renfrew County District School Board,3,1495
3541043,Arran-Elderslie,Bruce,public,B66001,Bluewater District School Board,5,1195
3540063,Ashfield-Colborne-Wawanosh,Huron,public,B66010,Avon Maitland District School Board,1,335
3515003,Asphodel-Norwood,Peterborough,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,1,325
3515003,Asphodel-Norwood,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,3,740
3551011,Assiginack,Manitoulin,public,B28029,Rainbow District School Board,1,100
3507042,Athens,Leeds and Grenville,public,B66192,Upper Canada District School Board,3,425
3559001,Atikokan,Rainy River,catholic,B29041,Northwest Catholic District School Board,1,70
3559001,Atikokan,Rainy River,public,B28053,Rainy River District School Board,2,305
3507006,Augusta,Leeds and Grenville,public,B66192,Upper Canada District School Board,1,260
3519046,Aurora,York,catholic,B67075,York Catholic District School Board,9,4825
3519046,Aurora,York,public,B66095,York Region District School Board,14,7535
3534011,Aylmer,Elgin,catholic,B67032,London District Catholic School Board,1,195
3534011,Aylmer,Elgin,public,B66044,Thames Valley District School Board,3,1525
3512061,Bancroft,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,255
3512061,Bancroft,Hastings,public,B66222,Hastings & Prince Edward District School Board,4,915
3543042,Barrie,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,16,8325
3543042,Barrie,Simcoe,public,B66109,Simcoe County District School Board,31,19150
3534005,Bayham,Elgin,public,B66044,Thames Valley District School Board,2,460
3509024,Beckwith,Lanark,public,B66192,Upper Canada District School Board,1,580
3512005,Belleville,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,8,3080
3512005,Belleville,Hastings,public,B66222,Hastings & Prince Edward District School Board,14,6895
3551021,Billings,Manitoulin,public,B28029,Rainbow District School Board,1,420
3556014,Black River-Matheson,Cochrane,public,B28002,District School Board Ontario North East,1,130
3532045,Blandford-Blenheim,Oxford,public,B66044,Thames Valley District School Board,2,585
3557038,Blind River,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,1,160
3557038,Blind River,Algoma,public,B28010,Algoma District School Board,2,340
3540010,Bluewater,Huron,catholic,B67016,Huron Perth Catholic District School Board,1,230
3540010,Bluewater,Huron,public,B66010,Avon Maitland District School Board,2,570
3547035,Bonnechere Valley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,120
3547035,Bonnechere Valley,Renfrew,public,B66214,Renfrew County District School Board,1,415
3544018,Bracebridge,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,2,500
3544018,Bracebridge,Muskoka,public,B66087,Trillium Lakelands District School Board,5,2315
3543014,Bradford West Gwillimbury,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,7,3820
3543014,Bradford West Gwillimbury,Simcoe,public,B66109,Simcoe County District School Board,9,5220
3521010,Brampton,Peel,catholic,B67083,Dufferin-Peel Catholic District School Board,60,27940
3521010,Brampton,Peel,public,B66125,Peel District School Board,126,76110
3529005,Brant,Brant,catholic,B67164,Brant Haldimand Norfolk Catholic District School Board,3,1160
3529005,Brant,Brant,public,B66168,Grand Erie District School Board,8,3590
3529006,Brantford,Brant,catholic,B67164,Brant Haldimand Norfolk Catholic District School Board,17,7485
3529006,Brantford,Brant,public,B66168,Grand Erie District School Board,32,12395
3514004,Brighton,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,4,1890
3518039,Brock,Durham,catholic,B67105,Durham Catholic District School Board,1,135
3518039,Brock,Durham,public,B66060,Durham District School Board,5,1930
3541032,Brockton,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,3,1265
3541032,Brockton,Bruce,public,B66001,Bluewater District School Board,2,830
3507015,Brockville,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,5,1050
3507015,Brockville,Leeds and Grenville,public,B66192,Upper Canada District School Board,7,2470
3538015,Brooke-Alvinston,Lambton,public,B66036,Lambton Kent District School Board,1,275
3547020,"Brudenell, Lyndoch and Raglan",Renfrew,public,B66214,Renfrew County District School Board,1,70
3549022,Burk's Falls,Parry Sound,public,B28037,Near North District School Board,1,320
3524002,Burlington,Halton,catholic,B67113,Halton Catholic District School Board,18,9895
3524002,Burlington,Halton,public,B66133,Halton District School Board,39,18410
3521024,Caledon,Peel,catholic,B67083,Dufferin-Peel Catholic District School Board,7,3850
3521024,Caledon,Peel,public,B66125,Peel District School Board,15,8615
3530010,Cambridge,Waterloo,catholic,B67148,Waterloo Catholic District School Board,15,8080
3530010,Cambridge,Waterloo,public,B66176,Waterloo Region District School Board,29,14010
3509028,Carleton Place,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,4,1530
3509028,Carleton Place,Lanark,public,B66192,Upper Canada District School Board,4,1750
3515013,Cavan Monaghan,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,3,1500
3534020,Central Elgin,Elgin,catholic,B67032,London District Catholic School Board,1,800
3534020,Central Elgin,Elgin,public,B66044,Thames Valley District School Board,1,415
3510035,Central Frontenac,Frontenac,public,B66206,Limestone District School Board,1,70
3540025,Central Huron,Huron,catholic,B67016,Huron Perth Catholic District School Board,2,765
3540025,Central Huron,Huron,public,B66010,Avon Maitland District School Board,4,985
3551006,Central Manitoulin,Manitoulin,public,B28029,Rainbow District School Board,1,205
3523025,Centre Wellington,Wellington,catholic,B67130,Wellington Catholic District School Board,2,965
3523025,Centre Wellington,Wellington,public,B66117,Upper Grand District School Board,11,4030
3502010,Champlain,Prescott and Russell,catholic,B67172,Catholic District School Board of Eastern Ontario,1,285
3502010,Champlain,Prescott and Russell,public,B66192,Upper Canada District School Board,2,890
3552092,Chapleau,Sudbury,catholic,B29025,Huron-Superior Catholic District School Board,1,55
3552092,Chapleau,Sudbury,public,B28010,Algoma District School Board,2,165
3559024,Chapple,Rainy River,public,B28053,Rainy River District School Board,1,105
3536020,Chatham-Kent,Chatham-Kent,catholic,B67040,St Clair Catholic District School Board,11,4360
3536020,Chatham-Kent,Chatham-Kent,public,B66036,Lambton Kent District School Board,28,9520
3542037,Chatsworth,Grey,public,B66001,Bluewater District School Board,2,445
3502036,Clarence-Rockland,Prescott and Russell,catholic,B67172,Catholic District School Board of Eastern Ontario,4,970
3502036,Clarence-Rockland,Prescott and Russell,public,B66192,Upper Canada District School Board,3,1045
3518017,Clarington,Durham,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,10,5875
3518017,Clarington,Durham,public,B66079,Kawartha Pine Ridge District School Board,25,11930
3543005,Clearview,Simcoe,public,B66109,Simcoe County District School Board,6,1670
3554008,Cobalt,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,1,135
3514021,Cobourg,Northumberland,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,4,1350
3514021,Cobourg,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,7,3245
3556042,Cochrane,Cochrane,catholic,B29009,Northeastern Catholic District School Board,2,185
3556042,Cochrane,Cochrane,public,B28002,District School Board Ontario North East,2,580
3543031,Collingwood,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,2,1080
3543031,Collingwood,Simcoe,public,B66109,Simcoe County District School Board,5,3230
3501012,Cornwall,"Stormont, Dundas and Glengarry",catholic,B67172,Catholic District School Board of Eastern Ontario,9,2725
3501012,Cornwall,"Stormont, Dundas and Glengarry",public,B66192,Upper Canada District School Board,9,3830
3514014,Cramahe,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,2,540
3538007,Dawn-Euphemia,Lambton,public,B66036,Lambton Kent District School Board,1,125
3547096,Deep River,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,170
3547096,Deep River,Renfrew,public,B66214,Renfrew County District School Board,2,790
3512002,Deseronto,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,165
3558034,Dorion,Thunder Bay,public,B28070,Superior-Greenstone District School Board,1,0
3515023,Douro-Dummer,Peterborough,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,1,205
3515023,Douro-Dummer,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,1,140
3509010,Drummond/North Elmsley,Lanark,public,B66192,Upper Canada District School Board,2,170
3560027,Dryden,Kenora,catholic,B29041,Northwest Catholic District School Board,1,355
3560027,Dryden,Kenora,public,B28045,Keewatin-Patricia District School Board,3,1245
3534030,Dutton/Dunwich,Elgin,public,B66044,Thames Valley District School Board,1,440
3546024,Dysart et al,Haliburton,public,B66087,Trillium Lakelands District School Board,3,1135
3560032,Ear Falls,Kenora,public,B28045,Keewatin-Patricia District School Board,1,105
3548034,East Ferris,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,1,355
3548034,East Ferris,Nipissing,public,B28037,Near North District School Board,1,215
3522001,East Garafraxa,Dufferin,public,B66117,Upper Grand District School Board,1,195
3519054,East Gwillimbury,York,catholic,B67075,York Catholic District School Board,2,990
3519054,East Gwillimbury,York,public,B66095,York Region District School Board,7,3155
3532038,East Zorra-Tavistock,Oxford,public,B66044,Thames Valley District School Board,4,1600
3507004,Edwardsburgh/Cardinal,Leeds and Grenville,public,B66192,Upper Canada District School Board,2,300
3507014,Elizabethtown-Kitley,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,1,215
3507014,Elizabethtown-Kitley,Leeds and Grenville,public,B66192,Upper Canada District School Board,2,350
3557041,Elliot Lake,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,2,395
3557041,Elliot Lake,Algoma,public,B28010,Algoma District School Board,5,780
3559019,Emo,Rainy River,public,B28053,Rainy River District School Board,1,160
3554052,Englehart,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,1,120
3554052,Englehart,Timiskaming,public,B28002,District School Board Ontario North East,3,445
3538016,Enniskillen,Lambton,public,B66036,Lambton Kent District School Board,1,210
3523017,Erin,Wellington,catholic,B67130,Wellington Catholic District School Board,1,265
3523017,Erin,Wellington,public,B66117,Upper Grand District School Board,4,1350
3552026,Espanola,Sudbury,catholic,B29025,Huron-Superior Catholic District School Board,1,255
3552026,Espanola,Sudbury,public,B28029,Rainbow District School Board,2,765
3543021,Essa,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,875
3543021,Essa,Simcoe,public,B66109,Simcoe County District School Board,5,2865
3537016,Essex,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,3,1935
3537016,Essex,Essex,public,B66028,Greater Essex County District School Board,5,2595
3526003,Fort Erie,Niagara,catholic,B67156,Niagara Catholic District School Board,4,910
3526003,Fort Erie,Niagara,public,B66150,District School Board of Niagara,5,2980
3559012,Fort Frances,Rainy River,catholic,B29041,Northwest Catholic District School Board,1,455
3559012,Fort Frances,Rainy River,public,B28053,Rainy River District School Board,4,1355
3552001,French River / Rivière des Français,Sudbury,public,B28029,Rainbow District School Board,1,95
3507017,Front of Yonge,Leeds and Grenville,public,B66192,Upper Canada District School Board,1,120
3510005,Frontenac Islands,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,0
3510005,Frontenac Islands,Frontenac,public,B66206,Limestone District School Board,1,0
3507024,Gananoque,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,1,290
3507024,Gananoque,Leeds and Grenville,public,B66192,Upper Canada District School Board,3,625
3544065,Georgian Bay,Muskoka,public,B28037,Near North District School Board,1,95
3544065,Georgian Bay,Muskoka,public,B66087,Trillium Lakelands District School Board,1,60
3519070,Georgina,York,catholic,B67075,York Catholic District School Board,5,1380
