census_id,csdname,race,office,district_scope,district,n_candidates,retrieved
3520005,Toronto,mayor,Mayor,At-large,At-large,37,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 7,16,2026-08-11
3538030,Sarnia,atlarge,"Councillor, City",At-large,At-large,15,2026-08-11
3526043,Niagara Falls,atlarge,Councillor,At-large,At-large,14,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 7 - North East Chatham,13,2026-08-11
3538030,Sarnia,atlarge,"Councillor, City-County",At-large,At-large,13,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 8 - South Chatham,12,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 5 - Wallaceburg & Area,11,2026-08-11
3530013,Kitchener,regional councillor,"Councillor, Regional",At-large,At-large,11,2026-08-11
3548044,North Bay,atlarge,Councillor,At-large,At-large,11,2026-08-12
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 2 - South East Kent,10,2026-08-11
3539036,London,mayor,Mayor,At-large,At-large,10,2026-08-11
3521005,Mississauga,mayor,Mayor,At-large,At-large,10,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 2,10,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 11,10,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 19,10,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 20,10,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 21,10,2026-08-11
3521010,Brampton,mayor,Mayor,At-large,At-large,9,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 2,9,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 5,9,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 4,9,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 7,9,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 5,9,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 4,9,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 13,9,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 2,8,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 5,8,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 6,8,2026-08-11
3525005,Hamilton,mayor,Mayor,At-large,At-large,8,2026-08-11
3524009,Milton,mayor,Mayor,At-large,At-large,8,2026-08-11
3518013,Oshawa,ward,"Councillor, City",Ward,Ward 4,8,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 6 Stittsville,8,2026-08-11
3558004,Thunder Bay,mayor,Mayor,At-large,At-large,8,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 10,8,2026-08-11
3518005,Ajax,ward,"Councillor, Local",Ward,Ward 1,7,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 3 - North East Kent,7,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 6 - North West Chatham,7,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,mayor,Mayor,At-large,At-large,7,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 1,7,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 3,7,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 10,7,2026-08-11
3524009,Milton,ward,"Councillor, Town",Ward,Ward 2,7,2026-08-11
3518013,Oshawa,mayor,Mayor,At-large,At-large,7,2026-08-11
3506008,Ottawa,mayor,Mayor,At-large,At-large,7,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 1 Orléans East-Cumberland,7,2026-08-11
3515014,Peterborough,ward,Councillor,Ward,Northcrest,7,2026-08-11
3558004,Thunder Bay,atlarge,"Councillor, At-Large",At-large,At-large,7,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 22,7,2026-08-11
3518005,Ajax,regional councillor,"Councillor, Regional",Ward,Ward 3,6,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 1,6,2026-08-11
