revised,revision_source,census_id,csdname,provider,pop_2021,office,election_type,ward_type,district_scope,districts,n_districts,seats_per_district,district_source_url,block_vote,max_votes,max_votes_source
FALSE,,3518005,Ajax,Leger,126666,"Councillor, Regional",Ward,MMD,Ward,Wards 1-3,3,1,https://elections.ajax.ca/voters,FALSE,1,
FALSE,,3518005,Ajax,Leger,126666,"Councillor, Local",Ward,MMD,Ward,Wards 1-3,3,1,https://elections.ajax.ca/voters,FALSE,1,
FALSE,,3519046,Aurora,EveryAnswer,62057,"Councillor, Ward",Ward,SMD,Ward,Wards 1-6,6,1,https://www.aurora.ca/your-government/elections-2026/auroras-ward-system/; https://www.aurora.ca/your-government/council-members/,FALSE,1,
FALSE,,3543042,Barrie,Leger,147829,Councillor,Ward,SMD,Ward,Wards 1-10,10,1,https://www.barrie.ca/government-news/mayor-council-committees/city-council,FALSE,1,
FALSE,,3521010,Brampton,Leger,656480,"Councillor, Regional",Ward,MMD,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,https://elections2022.amo.on.ca/web/en/municipal/10108; https://www.brampton.ca/EN/City-Hall/Election,FALSE,1,
FALSE,,3521010,Brampton,Leger,656480,"Councillor, City",Ward,MMD,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,https://www.brampton.ca/EN/City-Hall/election/Documents/2022%20Brampton%20Municipal%20Election%20-%20Official%20Results.pdf,FALSE,1,
FALSE,,3529006,Brantford,Leger,104688,Councillor,Ward,MMD,Ward,Wards 1-5,5,2,https://www.brantford.ca/your-government/city-council/,TRUE,2,https://www.brantford.ca/your-government/municipal-election/frequently-asked-questions/
FALSE,,3524002,Burlington,Leger,186948,"Councillor, City and Regional",Ward,SMD,Ward,Wards 1-6,6,1,https://www.burlington.ca/en/council-and-city-administration/council-members-and-wards.aspx,FALSE,1,
FALSE,,3530010,Cambridge,Leger,138479,"Councillor, Ward",Ward,SMD,Ward,Wards 1-8,8,1,https://www.cambridge.ca/mayor-city-council-government/elections/nominations-candidate-profiles/#RegionalCouncillors(Cambridge),FALSE,1,
FALSE,,3536020,Chatham-Kent,Leger,103988,Councillor,Ward,MMD,Ward,Wards 1;2;5;6;7;8,6,2,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx,TRUE,2,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx; https://www.chatham-kent.ca/localgovernment/elections/Documents/2026%20Resource%20Documents/Chatham-Kent%20Municipal%20Election%20Procedures.pdf
FALSE,,3536020,Chatham-Kent,Leger,103988,Councillor,Ward,MMD,Ward,Wards 3;4,2,1,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx,TRUE,1,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx; https://www.chatham-kent.ca/localgovernment/elections/Documents/2026%20Resource%20Documents/Chatham-Kent%20Municipal%20Election%20Procedures.pdf
FALSE,,3518017,Clarington,Leger,101427,"Councillor, Local",Ward,Mixed,Ward,Wards 1-4,4,1,https://www.clarington.net/clarington-elections/voters/whos-running/,FALSE,1,
FALSE,,3518017,Clarington,Leger,101427,"Councillor, Regional",Ward,Mixed,Ward-pair,1&2;3&4,2,1,https://www.clarington.net/clarington-elections/voters/whos-running/,FALSE,1,
FALSE,,3519070,Georgina,EveryAnswer,47642,"Councillor, Regional",Hybrid,Mixed,At-large,At-large,1,1,https://www.georgina.ca/municipal-government/2026-election,FALSE,1,
FALSE,,3519070,Georgina,EveryAnswer,47642,"Councillor, Ward",Hybrid,Mixed,Ward,Wards 1-5,5,1,https://www.georgina.ca/municipal-government/2026-election,FALSE,1,
FALSE,,3553005,Greater Sudbury / Grand Sudbury,Leger,166004,Councillor,Ward,SMD,Ward,Wards 1-12,12,1,https://www.greatersudbury.ca/city-hall/municipal-schoolboard-elections/for-voters/registered-candidates/,FALSE,1,
