census_id,csdname,provider,pop_2021,election_type,ward_type,block_vote,max_votes_max,revised,revision_source
3518005,Ajax,Leger,126666,Ward,MMD,FALSE,1,FALSE,
3519046,Aurora,EveryAnswer,62057,Ward,SMD,FALSE,1,FALSE,
3543042,Barrie,Leger,147829,Ward,SMD,FALSE,1,FALSE,
3521010,Brampton,Leger,656480,Ward,MMD,FALSE,1,FALSE,
3529006,Brantford,Leger,104688,Ward,MMD,TRUE,2,FALSE,
3524002,Burlington,Leger,186948,Ward,SMD,FALSE,1,FALSE,
3530010,Cambridge,Leger,138479,Ward,SMD,FALSE,1,FALSE,
3536020,Chatham-Kent,Leger,103988,Ward,MMD,TRUE,2,FALSE,
3518017,Clarington,Leger,101427,Ward,Mixed,FALSE,1,FALSE,
3519070,Georgina,EveryAnswer,47642,Hybrid,Mixed,FALSE,1,FALSE,
3553005,Greater Sudbury / Grand Sudbury,Leger,166004,Ward,SMD,FALSE,1,FALSE,
3523008,Guelph,Leger,143740,Ward,MMD,TRUE,2,FALSE,
3528018,Haldimand County,EveryAnswer,49216,Ward,SMD,FALSE,1,FALSE,
3525005,Hamilton,Leger,569353,Ward,SMD,FALSE,1,FALSE,
3543017,Innisfil,EveryAnswer,43326,Ward,SMD,FALSE,1,FALSE,
3510010,Kingston,Leger,132485,Ward,SMD,FALSE,1,FALSE,
3530013,Kitchener,Leger,256885,Ward,SMD,FALSE,1,FALSE,
3539036,London,Leger,422324,Ward,SMD,FALSE,1,FALSE,
3519036,Markham,Leger,338503,Ward,Mixed,TRUE,4,FALSE,
3524009,Milton,Leger,132979,Ward,MMD,FALSE,1,FALSE,
3521005,Mississauga,Leger,717961,Ward,SMD,FALSE,1,FALSE,
3543007,New Tecumseth,EveryAnswer,43948,Ward,SMD,FALSE,1,FALSE,
3526043,Niagara Falls,EveryAnswer,94415,At-Large,N/A,TRUE,8,FALSE,
3548044,North Bay,EveryAnswer,52662,At-Large,N/A,TRUE,10,FALSE,
3524001,Oakville,Leger,213759,Ward,MMD,FALSE,1,FALSE,
3518013,Oshawa,Leger,175383,Ward,MMD,FALSE,1,FALSE,
3506008,Ottawa,Leger,1017449,Ward,SMD,FALSE,1,FALSE,
3515014,Peterborough,EveryAnswer,83651,Ward,MMD,TRUE,2,FALSE,
3518001,Pickering,EveryAnswer,99186,Ward,MMD,FALSE,1,FALSE,
3519038,Richmond Hill,Leger,202022,Hybrid,Mixed,TRUE,2,FALSE,
3538030,Sarnia,EveryAnswer,72047,At-Large,N/A,TRUE,4,FALSE,
3526053,St. Catharines,Leger,136803,Hybrid,MMD,TRUE,2,FALSE,
3558004,Thunder Bay,Leger,108843,Hybrid,Mixed,TRUE,5,FALSE,
3520005,Toronto,Leger,2794356,Ward,SMD,FALSE,1,FALSE,
3519028,Vaughan,Leger,323103,Hybrid,Mixed,TRUE,4,FALSE,
3530016,Waterloo,Leger,121436,Ward,SMD,TRUE,2,FALSE,
3518009,Whitby,Leger,138501,Ward,SMD,FALSE,1,TRUE,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/
3537039,Windsor,Leger,229660,Ward,SMD,FALSE,1,FALSE,
