place,done,notes
Ajax,1,
Aurora,1,
Barrie,1,
Brampton,1,
Brantford,1,
Burlington,1,
Cambridge,1,
Chatham-Kent,1,"Oddly, this municipality has full ward names, unlike the Peterborough-type problem"
Clarington,1,
Georgina,1,
GreaterSudbury/GrandSudbury,1,
Guelph,1,"Check the display of 'Ramos, Jr., Evaristo'"
HaldimandCounty,1,
Hamilton,1,
Innisfil,1,
Kingston,1,
Kitchener,1,
London,1,
Markham,1,
Milton,1,
Mississauga,1,
NewTecumseth,1,
NiagaraF1alls,1,
NorthBay,1,
Oakville,1,
Oshawa,1,
Ottawa,1,
Peterborough,1,"ward names: do the ballots have the full name (Ward 4 - Ashburnham), or just the name (Ashburnham)"
Pickering,1,
RichmondHill,1,
Sarnia,1,
St.Catharines,1,
ThunderBay,1,"redo. Search for certified list"
Toronto,1,"Same ward names problem as Peterborough"
Vaughan,1,"Same ward names problem as Peterborough"
Waterloo,1,
Whitby,1,"West Ward 2, 'Naeme, Yar.M' spelling"
Windsor,1,
