census_id,csdname,website,election_url,status,boards_found,n_emails,saved_as,error
3511035,Addington Highlands,http://www.addingtonhighlands.ca/,,no-list-found,,0,,
3539047,Adelaide-Metcalfe,https://adelaidemetcalfe.on.ca/,,no-list-found,,0,,
3543003,Adjala-Tosorontio,https://www.adjtos.ca/en/index.aspx,https://www.adjtos.ca/municipal-government/elections/,found,B66109|B67091,27,3543003.html,
3547043,Admaston/Bromley,http://www.admastonbromley.com/,http://www.admastonbromley.com/2026-municipal-elections/,found,,1,3547043.html,
3559011,Alberton,http://www.alberton.ca/,,no-list-found,,0,,
3502023,Alfred and Plantagenet,https://www.alfred-plantagenet.com/en/index.aspx,https://www.alfred-plantagenet.com/en/government-administration/council-council-meetings/elections,found,B66192|B67172,25,3502023.html,
3546018,Algonquin Highlands,http://www.algonquinhighlands.ca/,http://www.algonquinhighlands.ca/municipal-services/elections/official-list-of-certified-candidates/,found,B66087,13,3546018.html,
3514024,Alnwick/Haldimand,http://www.alnwickhaldimand.ca/,,no-list-found,,0,,
3522008,Amaranth,http://www.amaranth.ca/en/index.aspx,https://www.amaranth.ca/municipal-government/elections/registered-candidates/,found,B66117,8,3522008.html,
3537028,Amherstburg,http://www.amherstburg.ca/,https://www.amherstburg.ca/town-hall/elections/candidate-information/candidates/,found,B66028,0,3537028.html,
3549019,Armour,http://www.armourtownship.ca/,http://www.armourtownship.ca/elections,found,B28037|B29017,10,3549019.html,
3554036,Armstrong,http://www.armstrongtownship.com/,http://www.armstrongtownship.com/en/government/2026-municipal-election,found,B28002|B29009,1,3554036.html,
3547002,Arnprior,http://www.arnprior.ca/,https://www.arnprior.ca/town-hall/council/elections/#,found,B66214|B67199,17,3547002.html,
3541043,Arran-Elderslie,http://www.arran-elderslie.com/,,no-list-found,,0,,
3540063,Ashfield-Colborne-Wawanosh,http://www.acwtownship.ca/,,no-list-found,,0,,
3515003,Asphodel-Norwood,https://www.antownship.ca/en/index.aspx,https://www.antownship.ca/township-services/municipal-elections/information-for-voters/certified-candidates/,found,B66079,16,3515003.html,
3551011,Assiginack,http://www.assiginack.ca/,http://www.assiginack.ca/administration/municipal-elections,found,B28029,1,3551011.html,
3507042,Athens,http://www.athenstownship.ca/,,no-list-found,,0,,
3559001,Atikokan,http://www.atikokan.ca/siteengine/activepage.asp,,no-list-found,,0,,
3507006,Augusta,http://www.augusta.ca/,,no-list-found,,0,,
3534011,Aylmer,http://www.aylmer.ca/,,no-list-found,,0,,
3552028,Baldwin,https://www.baldwin.ca/,,no-list-found,,0,,
3512061,Bancroft,http://www.bancroft.ca/,http://www.bancroft.ca/town_hall/municipal_elections_2026,found,,0,3512061.html,
3534005,Bayham,http://www.bayham.on.ca/siteengine/activepage.asp,http://www.bayham.on.ca/governance/elections/,found,B66044|B67032,14,3534005.html,
3509024,Beckwith,http://www.twp.beckwith.on.ca/,,unreachable,,0,,
3512005,Belleville,http://www.belleville.ca/,https://www.belleville.ca/council-and-administration/council/municipal-election/candidates/,found,B67202,1,3512005.html,
3551021,Billings,http://www.billingstwp.ca/,http://www.billingstwp.ca/townhall/elections/#,found,,2,3551021.html,
3556014,Black River-Matheson,https://www.twpbrm.ca/,http://www.twpbrm.ca/your-township-government/elections/,found,,2,3556014.html,
3532045,Blandford-Blenheim,http://www.blandfordblenheim.ca/,http://www.blandfordblenheim.ca/my-government/municipal-elections/,found,,1,3532045.html,
3557038,Blind River,https://www.blindriver.ca/,https://www.blindriver.ca/town-hall/elections/,found,,9,3557038.html,
3540010,Bluewater,https://www.municipalityofbluewater.ca/,https://www.municipalityofbluewater.ca/municipal-office/municipal-election/official-list-of-certified-candidates-and-acclaimed-offices/,found,B66010|B67016,18,3540010.html,
3548027,Bonfield,https://www.bonfieldtownship.com/,https://www.bonfieldtownship.com/your-government/elections/,found,B28037,17,3548027.html,
3547035,Bonnechere Valley,http://www.bonnecherevalleytwp.com/,,no-list-found,,0,,
3543014,Bradford West Gwillimbury,https://www.townofbwg.com/,https://www.townofbwg.com/town-hall/election/certified-candidates-contact-information/,found,B66109|B67091,44,3543014.html,
3529005,Brant,http://www.brant.ca/,https://www.brant.ca/council-and-county-administration/elections/certified-candidates/,found,B66168,38,3529005.html,
3529006,Brantford,http://www.brantford.ca/Pages/default.aspx,https://www.brantford.ca/your-government/municipal-election/candidates/,found-from-seed,B66168|B67164,50,3529006.html,
3554032,Brethour,,,no-website,,0,,
3514004,Brighton,http://www.brighton.ca/,https://www.brighton.ca/council-government/elections/,found,B66079,27,3514004.html,
3518039,Brock,http://townshipofbrock.ca/,http://townshipofbrock.ca/news/posts/notice-of-certified-candidates-2026-municipal-election/,found,B66060|B67105,0,3518039.html,
3541032,Brockton,http://www.brockton.ca/,https://www.brockton.ca/municipal-government/elections/list-of-candidates/,found,B66001|B67008,0,3541032.html,
3507015,Brockville,http://www.brockville.com/,http://www.brockville.com/local-government/municipal-election/,found,,23,3507015.html,
3538015,Brooke-Alvinston,http://brookealvinston.com/home/,,no-list-found,,0,,
3557021,Bruce Mines,http://www.brucemines.ca/,,no-list-found,,0,,
3547020,"Brudenell, Lyndoch and Raglan",http://www.blrtownship.ca/,,no-list-found,,0,,
3549022,Burk's Falls,http://www.burksfalls.net/,http://www.burksfalls.net/townhall/election,found,B28037,1,3549022.html,
3551028,Burpee and Mills,http://www.burpeemills.com/,,no-list-found,,0,,
3549066,Callander,http://mycallander.ca/,http://mycallander.ca/en/local-government/elections,found,B28037|B29017,2,3549066.html,
3548022,Calvin,http://www.calvintownship.ca/,,no-list-found,,0,,
3530010,Cambridge,http://www.cambridge.ca/,https://www.cambridge.ca/mayor-city-council-government/elections/nominations-candidate-profiles/,found-from-seed,B66176|B67148,40,3530010.html,
3509028,Carleton Place,http://www.carletonplace.ca/,,no-list-found,,0,,
3549036,Carling,http://www.carlingtownship.ca/,,no-list-found,,0,,
3512065,Carlow/Mayo,http://www.carlowmayo.ca/,,no-list-found,,0,,
3554029,Casey,http://Casey.ca,,no-list-found,,0,,
3502044,Casselman,https://www.casselman.ca/,https://www.casselman.ca/en/my-municipality/democracy/2026-election,found,B66192|B67172,17,3502044.html,
3515013,Cavan Monaghan,http://www.cavanmonaghan.net/siteengine/activepage.asp,http://www.cavanmonaghan.net/local-government/2026-municipal-election/,found,,3,3515013.html,
3534020,Central Elgin,https://www.centralelgin.org/en/index.aspx,https://www.centralelgin.org/municipal-office-council/election/certified-list-of-candidates/,found,B66044|B67032,16,3534020.html,
3510035,Central Frontenac,http://www.centralfrontenac.com/,https://www.centralfrontenac.com/township-office/2026-municipal-elections/,found,B66206,1,3510035.html,
3540025,Central Huron,http://www.centralhuron.com/,http://www.centralhuron.com/article/notices-2026-offices-be-elected-and-certified-candidates,found,,0,3540025.html,
3551006,Central Manitoulin,http://www.centralmanitoulin.ca/,http://www.centralmanitoulin.ca/our-government/elections/,found,,1,3551006.html,
3512026,Centre Hastings,http://www.centrehastings.com/,http://www.centrehastings.com/our-municipality/elections/for-candidates/,found,,0,3512026.html,
3523025,Centre Wellington,https://www.centrewellington.ca/en/index.aspx,http://www.centrewellington.ca/township-services/2026-municipal-election/official-list-of-candidates-and-registered-third-party-advertisers/,found,B66117|B67130,28,3523025.html,
3554054,Chamberlain,https://www.chamberlaintownship.com,,no-list-found,,0,,
3502010,Champlain,http://www.champlain.ca/en/index.aspx,http://www.champlain.ca/2026election/list-candidates,found,B66192|B67172,22,3502010.html,
3552092,Chapleau,https://chapleau.ca/,https://chapleau.ca/township/administration/municipal-elections-2026/,found,B28010|B29025,0,3552092.html,
3559024,Chapple,http://www.chapple.on.ca/,,no-list-found,,0,,
3554044,Charlton and Dack,http://www.charltonanddack.com/,http://www.charltonanddack.com/election,found,,1,3554044.html,
3536020,Chatham-Kent,http://www.chatham-kent.ca,,no-list-found,,0,,
3542037,Chatsworth,http://www.chatsworth.ca/,,no-list-found,,0,,
3548031,Chisholm,http://www.chisholm.ca/,http://www.chisholm.ca/en/your-government/elections,found,,1,3548031.html,
3502036,Clarence-Rockland,http://www.clarence-rockland.com/,http://www.clarence-rockland.com/en/city-hall/municipal-council/2026-municipal-elections/information-candidates,found,B66192|B67172,2,3502036.html,
3543005,Clearview,http://www.clearview.ca/,http://www.clearview.ca/election,found,B66109|B67091,24,3543005.html,
3554008,Cobalt,http://www.cobalt.ca/,,no-list-found,,0,,
3556042,Cochrane,https://cochraneontario.com/,https://cochraneontario.com/town-hall/municipal-elections/,found,,0,3556042.html,
3551034,Cockburn Island,https://www.cockburnisland.ca/,,no-list-found,,0,,
3554001,Coleman,http://www.colemantownship.ca/,,no-list-found,,0,,
3558019,Conmee,http://www.conmee.com/,http://www.conmee.com/p/2026-municipal-election,found,,1,3558019.html,
3501012,Cornwall,http://www.cornwall.ca/,https://www.cornwall.ca/en/government-council/elections/#,found,B66192|B67172,1,3501012.html,
3514014,Cramahe,http://www.visitcramahe.ca/,,no-list-found,,0,,
3538007,Dawn-Euphemia,https://dawneuphemia.ca/,,no-list-found,,0,,
3559040,Dawson,https://dawsontownship.weebly.com/,,no-list-found,,0,,
3512002,Deseronto,http://www.deseronto.ca/,http://www.deseronto.ca/municipal-elections,found,,0,3512002.html,
3558034,Dorion,http://www.doriontownship.ca/,,no-list-found,,0,,
3515023,Douro-Dummer,http://www.dourodummer.on.ca/,,no-list-found,,0,,
3509010,Drummond/North Elmsley,https://www.dnetownship.ca/,,no-list-found,,0,,
3560027,Dryden,http://www.dryden.ca/,http://www.dryden.ca/news/posts/city-of-dryden-confirms-certified-candidates-list-2026-municipal-and-school-board-election/,found,B28045|B29041,2,3560027.html,
3557079,Dubreuilville,http://www.dubreuilville.ca/,,no-list-found,,0,,
3534030,Dutton/Dunwich,http://www.duttondunwich.on.ca/,http://www.duttondunwich.on.ca/your-government/election-2026,found,B66044|B67032,9,3534030.html,
3546024,Dysart et al,http://www.dysartetal.ca/,http://www.dysartetal.ca/municipal-government/municipal-and-school-board-election/,found,B66087,21,3546024.html,
3560032,Ear Falls,http://www.ear-falls.com/,http://www.ear-falls.com/municipal-government/elections/,found,,1,3560032.html,
3548034,East Ferris,http://eastferris.ca/,http://eastferris.ca/en/your-government/elections,found,,0,3548034.html,
3522001,East Garafraxa,https://www.eastgarafraxa.ca/en/index.aspx,https://www.eastgarafraxa.ca/municipal-government/elections/#,found,B66117,15,3522001.html,
3502001,East Hawkesbury,http://www.easthawkesbury.ca/,http://www.easthawkesbury.ca/en/township-hall/elections/,found,B66192,13,3502001.html,
3532038,East Zorra-Tavistock,https://www.ezt.ca/en/index.aspx,https://www.ezt.ca/township-office/elections/list-candidates/,found,B66044|B67032,16,3532038.html,
3507004,Edwardsburgh/Cardinal,http://www.edwardsburghcardinal.ca/,http://www.edwardsburghcardinal.ca/township-hall/elections/,found,,10,3507004.html,
3507014,Elizabethtown-Kitley,http://www.elizabethtown-kitley.on.ca/,,no-list-found,,0,,
3557041,Elliot Lake,http://www.cityofelliotlake.com/,http://www.cityofelliotlake.com/city-hall/2026-election/,found,,0,3557041.html,
3559019,Emo,https://emo.ca/,https://emo.ca/2026-elections/2026-candidates/,found,B28053,1,3559019.html,
3554052,Englehart,http://www.englehart.ca/,,no-list-found,,0,,
3538016,Enniskillen,http://www.enniskillen.ca/,,no-list-found,,0,,
