census_id,csdname,provider,pop_2021,election_type,ward_type,block_vote,max_votes_max,revised,revision_source,office,deputy_mayor,district_scope,districts,n_districts,seats_per_district,max_votes,source_url
3518005,Ajax,Leger,126666,Ward,MMD,FALSE,1,FALSE,,"Councillor, Regional",FALSE,Ward,Wards 1-3,3,1,1,https://elections.ajax.ca/voters
3518005,Ajax,Leger,126666,Ward,MMD,FALSE,1,FALSE,,"Councillor, Local",FALSE,Ward,Wards 1-3,3,1,1,https://elections.ajax.ca/voters
3519046,Aurora,EveryAnswer,62057,Ward,SMD,FALSE,1,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-6,6,1,1,https://www.aurora.ca/your-government/elections-2026/auroras-ward-system/; https://www.aurora.ca/your-government/council-members/
3543042,Barrie,Leger,147829,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-10,10,1,1,https://www.barrie.ca/government-news/mayor-council-committees/city-council
3543014,Bradford West Gwillimbury,EveryAnswer,42880,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-7,7,1,1,https://www.townofbwg.com/town-hall/council/council-members/
3543014,Bradford West Gwillimbury,EveryAnswer,42880,Ward,SMD,FALSE,1,FALSE,,Deputy Mayor,TRUE,At-large,At-large,1,1,1,https://www.townofbwg.com/town-hall/council/council-members/
3521010,Brampton,Leger,656480,Ward,MMD,FALSE,1,FALSE,,"Councillor, Regional",FALSE,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,1,https://elections2022.amo.on.ca/web/en/municipal/10108; https://www.brampton.ca/EN/City-Hall/Election
3521010,Brampton,Leger,656480,Ward,MMD,FALSE,1,FALSE,,"Councillor, City",FALSE,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,1,https://www.brampton.ca/EN/City-Hall/election/Documents/2022%20Brampton%20Municipal%20Election%20-%20Official%20Results.pdf
3529006,Brantford,Leger,104688,Ward,MMD,TRUE,2,FALSE,,Councillor,FALSE,Ward,Wards 1-5,5,2,2,https://www.brantford.ca/your-government/city-council/
3524002,Burlington,Leger,186948,Ward,SMD,FALSE,1,FALSE,,"Councillor, City and Regional",FALSE,Ward,Wards 1-6,6,1,1,https://www.burlington.ca/en/council-and-city-administration/council-members-and-wards.aspx
3530010,Cambridge,Leger,138479,Ward,SMD,FALSE,1,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-8,8,1,1,https://www.cambridge.ca/mayor-city-council-government/elections/nominations-candidate-profiles/#RegionalCouncillors(Cambridge)
3536020,Chatham-Kent,Leger,103988,Ward,MMD,TRUE,2,FALSE,,Councillor,FALSE,Ward,Wards 1;2;5;6;7;8,6,2,2,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx
3536020,Chatham-Kent,Leger,103988,Ward,MMD,TRUE,2,FALSE,,Councillor,FALSE,Ward,Wards 3;4,2,1,1,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx
3518017,Clarington,Leger,101427,Ward,Mixed,FALSE,1,FALSE,,"Councillor, Local",FALSE,Ward,Wards 1-4,4,1,1,https://www.clarington.net/clarington-elections/voters/whos-running/
3518017,Clarington,Leger,101427,Ward,Mixed,FALSE,1,FALSE,,"Councillor, Regional",FALSE,Ward-pair,1&2;3&4,2,1,1,https://www.clarington.net/clarington-elections/voters/whos-running/
3519070,Georgina,EveryAnswer,47642,Hybrid,Mixed,FALSE,1,FALSE,,"Councillor, Regional",FALSE,At-large,At-large,1,1,1,https://www.georgina.ca/municipal-government/2026-election
3519070,Georgina,EveryAnswer,47642,Hybrid,Mixed,FALSE,1,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-5,5,1,1,https://www.georgina.ca/municipal-government/2026-election
3553005,Greater Sudbury / Grand Sudbury,Leger,166004,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-12,12,1,1,https://www.greatersudbury.ca/city-hall/municipal-schoolboard-elections/for-voters/registered-candidates/
3523008,Guelph,Leger,143740,Ward,MMD,TRUE,2,FALSE,,Councillor,FALSE,Ward,Wards 1-6,6,2,2,https://guelph.ca/city-government/mayor-and-council/council-composition-and-ward-boundary-review/city-council-composition/
3528018,Haldimand County,EveryAnswer,49216,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-7,7,1,1,https://www.haldimandcounty.ca/news/posts/haldimand-county-adopting-seven-ward-model-for-2026-municipal-election/
3525005,Hamilton,Leger,569353,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-15,15,1,1,https://www.hamilton.ca/city-council/council-committee/city-council-members
