census_id,csdname,old_website,new_website,reason,verified
3502044,Casselman,http://www.en.casselman.ca/,https://www.casselman.ca/,"MMAH carries the old bilingual host en.casselman.ca, which does not resolve. Site is live at the apex domain; title reads ""Homepage | Municipality of Casselman"".",2026-09-04
3559019,Emo,http://www.twspemo.on.ca/,https://emo.ca/,"MMAH carries the pre-move host twspemo.on.ca, which does not resolve. Site is live at emo.ca; title reads ""Township of Emo"".",2026-09-04
3559012,Fort Frances,http://www.fort-frances.com/,https://www.fortfrances.ca/,"fort-frances.com redirects to https and then serves nothing. Site is live at fortfrances.ca. Recorded as a timeout on 2026-09-02; it is a dead host, not a slow one.",2026-09-04
3510005,Frontenac Islands,http://municipality.frontenacislands.on.ca/,https://www.frontenacislands.ca/,"MMAH carries the pre-move host municipality.frontenacislands.on.ca, which does not resolve. Site is live at frontenacislands.ca; title reads ""Frontenac Islands"".",2026-09-04
3526065,Grimsby,http://www.town.grimsby.on.ca/,https://www.grimsby.ca/,"MMAH carries the pre-move host town.grimsby.on.ca, which does not resolve. Site is live at grimsby.ca; title reads ""Home | Town of Grimsby"".",2026-09-04
3528018,Haldimand County,http://www.haldimandcounty.on.ca/,https://www.haldimandcounty.ca/,"MMAH carries haldimandcounty.on.ca, which does not resolve. Site is live at haldimandcounty.ca - the same host data/raw/by-municipality/3528018-haldimand-county.json already cites for its council list. This is the dead URL that cost the frame Haldimand's two trustees on 2026-09-02.",2026-09-04
3526047,Niagara-on-the-Lake,http://www.notl.org/,https://www.notl.com/,"notl.org does not resolve. Site is live at notl.com. Recorded as a timeout on 2026-09-02; it is a dead host, not a slow one.",2026-09-04
3510045,North Frontenac,http://www.northfrontenac.ca/,https://www.northfrontenac.com/,"The .ca does not resolve on either host or apex. Site is live at northfrontenac.com; title reads ""Township of North Frontenac - Four Seasons, More Reasons"".",2026-09-04
3532002,Norwich,http://www.twp.norwich.on.ca/,https://www.norwich.ca/,"MMAH carries the pre-move host twp.norwich.on.ca, which does not resolve. Site is live at norwich.ca. Recorded as a timeout on 2026-09-02; it is a dead host, not a slow one.",2026-09-04
3558011,Oliver Paipoonge,http://www.oliverpaipoonge.on.ca/,https://www.oliverpaipoonge.ca/,"MMAH carries the .on.ca host, which does not resolve. Site is live at oliverpaipoonge.ca; title reads ""Home :: Municipality of Oliver Paipoonge"".",2026-09-04
3560049,Pickle Lake,http://www.picklelake.ca/,https://picklelake.ca/,"The www subdomain does not resolve; the apex does. Same domain, so this is the narrowest repair in the file.",2026-09-04
3549003,Seguin,http://www.twp.seguin.on.ca/,https://www.seguin.ca/,"MMAH carries the pre-move host twp.seguin.on.ca, which does not resolve. Site is live at seguin.ca; title reads ""Homepage | Seguin Township"".",2026-09-04
3556048,Smooth Rock Falls,http://www.townofsmoothrockfalls.ca/,https://smoothrockfalls.ca/,"MMAH carries townofsmoothrockfalls.ca, which does not resolve. Site is live at smoothrockfalls.ca; title reads ""Home | Town of Smooth Rock Falls"".",2026-09-04
3510020,South Frontenac,http://www.township.southfrontenac.on.ca/,https://www.southfrontenac.net/,"MMAH carries the pre-move host township.southfrontenac.on.ca, which does not resolve, and southfrontenac.ca does not either. Site is live at southfrontenac.net; title reads ""Home | Township of South Frontenac"".",2026-09-04
3534024,Southwold,http://www.twp.southwold.on.ca/,https://www.southwold.ca/,"MMAH carries the pre-move host twp.southwold.on.ca, which does not resolve. Site is live at southwold.ca; title reads ""Township of Southwold: Home"".",2026-09-04
3532004,Tillsonburg,http://www.town.tillsonburg.on.ca/,https://www.tillsonburg.ca/,"MMAH carries the pre-move host town.tillsonburg.on.ca, which does not resolve. Site is live at tillsonburg.ca; title reads ""Tillsonburg (Home) - Town of Tillsonburg"".",2026-09-04
3507033,Westport,http://www.village.westport.on.ca/,https://villageofwestport.ca/,"MMAH carries the pre-move host village.westport.on.ca, which does not resolve. Site is live at villageofwestport.ca; title reads ""Village of Westport | Always more to discover!"".",2026-09-04
