census_id,csdname,tier,county,website,matched_on
3511035,Addington Highlands,Lower Tier,Lennox and Addington,http://www.addingtonhighlands.ca/,name
3539047,Adelaide-Metcalfe,Lower Tier,Middlesex,https://adelaidemetcalfe.on.ca/,name
3543003,Adjala-Tosorontio,Lower Tier,Simcoe,https://www.adjtos.ca/en/index.aspx,name
3547043,Admaston/Bromley,Lower Tier,Renfrew,http://www.admastonbromley.com/,name
3518005,Ajax,Lower Tier,Durham,http://www.ajax.ca/en/,name
3559011,Alberton,Single Tier,Rainy River,http://www.alberton.ca/,name
3502023,Alfred and Plantagenet,Lower Tier,Prescott and Russell,https://www.alfred-plantagenet.com/en/index.aspx,name
3546018,Algonquin Highlands,Lower Tier,Haliburton,http://www.algonquinhighlands.ca/,name
3514024,Alnwick/Haldimand,Lower Tier,Northumberland,http://www.alnwickhaldimand.ca/,name
3522008,Amaranth,Lower Tier,Dufferin,http://www.amaranth.ca/en/index.aspx,name
3537028,Amherstburg,Lower Tier,Essex,http://www.amherstburg.ca/,name
3549019,Armour,Single Tier,Parry Sound,http://www.armourtownship.ca/,name
3554036,Armstrong,Single Tier,Timiskaming,http://www.armstrongtownship.com/,name
3547002,Arnprior,Lower Tier,Renfrew,http://www.arnprior.ca/,name
3541043,Arran-Elderslie,Lower Tier,Bruce,http://www.arran-elderslie.com/,name
3540063,Ashfield-Colborne-Wawanosh,Lower Tier,Huron,http://www.acwtownship.ca/,name
3515003,Asphodel-Norwood,Lower Tier,Peterborough,https://www.antownship.ca/en/index.aspx,name
3551011,Assiginack,Single Tier,Manitoulin,http://www.assiginack.ca/,name
3507042,Athens,Lower Tier,Leeds and Grenville,http://www.athenstownship.ca/,name
3559001,Atikokan,Single Tier,Rainy River,http://www.atikokan.ca/siteengine/activepage.asp,name
3507006,Augusta,Lower Tier,Leeds and Grenville,http://www.augusta.ca/,name
3519046,Aurora,Lower Tier,York,https://www.aurora.ca/en/index.aspx,name
3534011,Aylmer,Lower Tier,Elgin,http://www.aylmer.ca/,name
3552028,Baldwin,Single Tier,Sudbury,https://www.baldwin.ca/,name
3512061,Bancroft,Lower Tier,Hastings,http://www.bancroft.ca/,name
3543042,Barrie,Single Tier,Simcoe,http://www.barrie.ca/Pages/default.aspx,name
3534005,Bayham,Lower Tier,Elgin,http://www.bayham.on.ca/siteengine/activepage.asp,name
3509024,Beckwith,Lower Tier,Lanark,http://www.twp.beckwith.on.ca/,name
3512005,Belleville,Single Tier,Hastings,http://www.belleville.ca/,name
3551021,Billings,Single Tier,Manitoulin,http://www.billingstwp.ca/,name
3556014,Black River-Matheson,Single Tier,Cochrane,https://www.twpbrm.ca/,name
3532045,Blandford-Blenheim,Lower Tier,Oxford,http://www.blandfordblenheim.ca/,name
3557038,Blind River,Single Tier,Algoma,https://www.blindriver.ca/,name
3540010,Bluewater,Lower Tier,Huron,https://www.municipalityofbluewater.ca/,name
3548027,Bonfield,Single Tier,Nipissing,https://www.bonfieldtownship.com/,name
3547035,Bonnechere Valley,Lower Tier,Renfrew,http://www.bonnecherevalleytwp.com/,name
3544018,Bracebridge,Lower Tier,Muskoka,http://www.bracebridge.ca/,name
3543014,Bradford West Gwillimbury,Lower Tier,Simcoe,https://www.townofbwg.com/,name
3521010,Brampton,Lower Tier,Peel,http://www.brampton.ca/en/pages/welcome.aspx,name
3529005,Brant,Single Tier,Brant,http://www.brant.ca/,name
3529006,Brantford,Single Tier,Brant,http://www.brantford.ca/Pages/default.aspx,name
3554032,Brethour,Single Tier,Timiskaming,,name
3514004,Brighton,Lower Tier,Northumberland,http://www.brighton.ca/,name
3518039,Brock,Lower Tier,Durham,http://townshipofbrock.ca/,name
3541032,Brockton,Lower Tier,Bruce,http://www.brockton.ca/,name
3507015,Brockville,Single Tier,Leeds and Grenville,http://www.brockville.com/,name
3538015,Brooke-Alvinston,Lower Tier,Lambton,http://brookealvinston.com/home/,name
3541,Bruce,Upper Tier,Bruce,http://www.brucecounty.on.ca/,name
3557021,Bruce Mines,Single Tier,Algoma,http://www.brucemines.ca/,name
3547020,"Brudenell, Lyndoch and Raglan",Lower Tier,Renfrew,http://www.blrtownship.ca/,name
3549022,Burk's Falls,Single Tier,Parry Sound,http://www.burksfalls.net/,name
3524002,Burlington,Lower Tier,Halton,https://www.burlington.ca/en/index.aspx,name
3551028,Burpee and Mills,Single Tier,Manitoulin,http://www.burpeemills.com/,name
3521024,Caledon,Lower Tier,Peel,http://www.town.caledon.on.ca/,name
3549066,Callander,Single Tier,Parry Sound,http://mycallander.ca/,name
3548022,Calvin,Single Tier,Nipissing,http://www.calvintownship.ca/,name
3530010,Cambridge,Lower Tier,Waterloo,http://www.cambridge.ca/,name
3509028,Carleton Place,Lower Tier,Lanark,http://www.carletonplace.ca/,name
3549036,Carling,Single Tier,Parry Sound,http://www.carlingtownship.ca/,name
3512065,Carlow/Mayo,Lower Tier,Hastings,http://www.carlowmayo.ca/,name
3554029,Casey,Single Tier,Timiskaming,http://Casey.ca,name
3502044,Casselman,Lower Tier,Prescott and Russell,https://www.casselman.ca/,url-override
3515013,Cavan Monaghan,Lower Tier,Peterborough,http://www.cavanmonaghan.net/siteengine/activepage.asp,name
3534020,Central Elgin,Lower Tier,Elgin,https://www.centralelgin.org/en/index.aspx,name
3510035,Central Frontenac,Lower Tier,Frontenac,http://www.centralfrontenac.com/,name
3540025,Central Huron,Lower Tier,Huron,http://www.centralhuron.com/,name
3551006,Central Manitoulin,Single Tier,Manitoulin,http://www.centralmanitoulin.ca/,name
3512026,Centre Hastings,Lower Tier,Hastings,http://www.centrehastings.com/,name
3523025,Centre Wellington,Lower Tier,Wellington,https://www.centrewellington.ca/en/index.aspx,name
3554054,Chamberlain,Single Tier,Timiskaming,https://www.chamberlaintownship.com,name
3502010,Champlain,Lower Tier,Prescott and Russell,http://www.champlain.ca/en/index.aspx,name
3552092,Chapleau,Single Tier,Sudbury,https://chapleau.ca/,name
3559024,Chapple,Single Tier,Rainy River,http://www.chapple.on.ca/,name
3554044,Charlton and Dack,Single Tier,Timiskaming,http://www.charltonanddack.com/,name
3536020,Chatham-Kent,Single Tier,Chatham-Kent,http://www.chatham-kent.ca,name
3542037,Chatsworth,Lower Tier,Grey,http://www.chatsworth.ca/,name
3548031,Chisholm,Single Tier,Nipissing,http://www.chisholm.ca/,name
3502036,Clarence-Rockland,Lower Tier,Prescott and Russell,http://www.clarence-rockland.com/,name
3518017,Clarington,Lower Tier,Durham,http://www.clarington.net/,name
3543005,Clearview,Lower Tier,Simcoe,http://www.clearview.ca/,name
3554008,Cobalt,Single Tier,Timiskaming,http://www.cobalt.ca/,name
3514021,Cobourg,Lower Tier,Northumberland,http://www.cobourg.ca/,name
3556042,Cochrane,Single Tier,Cochrane,https://cochraneontario.com/,name
3551034,Cockburn Island,Single Tier,Manitoulin,https://www.cockburnisland.ca/,name
3554001,Coleman,Single Tier,Timiskaming,http://www.colemantownship.ca/,name
3543031,Collingwood,Lower Tier,Simcoe,http://www.collingwood.ca/,name
3558019,Conmee,Single Tier,Thunder Bay,http://www.conmee.com/,name
