board_number,zone_id,seats,n_candidates,zone_labels,municipalities,n_municipalities,board_source,empty,sources
B28002,B28002-english-public-school-board,,2,English Public School Board,"3548069:Temagami, Municipality (MU)",1,inferred-from-candidate-set,0,harvest
B28002,B28002-school-board-trustee-english-public-district-school-board-on,,2,School Board Trustee - English Public District School Board Ontario North East - Zone A,3554020:Temiskaming Shores,1,label,0,harvest
B28010,B28010-adsb-ward-1-trustee,,1,ADSB Ward 1 Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B28010,B28010-adsb-ward-2-trustee,,2,ADSB Ward 2 Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B28010,B28010-adsb-ward-3-trustee,,1,ADSB Ward 3 Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B28010,B28010-adsb-ward-4-trustee,,2,ADSB Ward 4 Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B28010,B28010-adsb-ward-5-trustee,,1,ADSB Ward 5 Trustee,"3557061:Sault Ste. Marie, City (CY)",1,label,0,harvest
B28010,B28010-trustee-english-public-school-board-algoma-district-school-b,,1,TRUSTEE ENGLISH PUBLIC SCHOOL BOARD Algoma District School Board - North,3557076:Wawa,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee,,1,Rainbow District School Board Trustee,3551011:Assiginack,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-1,,1,Rainbow District School Board Trustee - Area 1,3553005:Greater Sudbury,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-2,,1,Rainbow District School Board Trustee - Area 2,3553005:Greater Sudbury,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-3,,2,Rainbow District School Board Trustee - Area 3,3553005:Greater Sudbury,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-4,,1,Rainbow District School Board Trustee - Area 4,3553005:Greater Sudbury,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-5,,1,Rainbow District School Board Trustee - Area 5,3553005:Greater Sudbury,1,label,0,harvest
B28029,B28029-rainbow-district-school-board-trustee-area-6,,1,Rainbow District School Board Trustee - Area 6,3553005:Greater Sudbury,1,label,0,harvest
B28037,B28037-english-public-zone-5-school-board,,1,English Public (Zone 5) School Board,3549024:Ryerson,1,label,0,harvest
B28037,B28037-near-north-district-school-board,,5,Near North District School Board,3548044:North Bay | 3548055:West Nipissing / Nipissing Ouest,2,label,0,harvest
B28037,B28037-nominations-will-be-accepted,,1,Nominations will be accepted,3548027:Bonfield,1,label,0,harvest
B28037,B28037-school-board-trustee-near-north-district-school-board-zone-4,,3,"Public School Trustee-Near North Board | School Board Trustee - Near North District School Board Zone 4 (English Public) | TRUSTEE, ENGLISH PUBLIC - NEAR NORTH DISTRICT SCHOOL BOARD ZONE 4","3544065:Georgian Bay, Township (TP) | 3549005:The Archipelago | 3549028:McKellar",3,label,0,harvest
