census_id,csdname,county_mun,n_races
3518005,"Ajax, Town (T)",1805,12
3519046,"Aurora, Town (T)",1946,11
3543042,"Barrie, City (CY)",4342,18
3544018,"Bracebridge, Town (T)",4418,11
3521010,"Brampton, City (CY)",2110,21
3524002,"Burlington, City (CY)",2402,16
3521024,"Caledon, Town (T)",2124,13
3518017,"Clarington, Municipality (MU)",1817,11
3514021,"Cobourg, Town (T)",1421,7
3543031,"Collingwood, Town (T)",4331,7
3547096,"Deep River, Town (T)",4796,7
3519054,"East Gwillimbury, Town (T)",1954,8
3544065,"Georgian Bay, Township (TP)",4465,13
3544002,"Gravenhurst, Town (T)",4402,11
3523008,"Guelph, City (CY)",2308,13
3544042,"Huntsville, Town (T)",4442,9
3519049,"King, Township (TP)",1949,11
3544027,"Lake of Bays, Township (TP)",4427,12
3539036,"London, City (CY)",3936,25
3519036,"Markham, City (CY)",1936,18
3524009,"Milton, Town (T)",2409,15
3521005,"Mississauga, City (CY)",2105,27
3544053,"Muskoka Lakes, Township (TP)",4453,7
3524001,"Oakville, Town (T)",2401,24
3518013,"Oshawa, City (CY)",1813,15
3542059,"Owen Sound, City (CY)",4259,7
3543072,"Penetanguishene, Town (T)",4372,0
3515014,"Peterborough, City (CY)",1514,10
3518001,"Pickering, City (CY)",1801,11
3519038,"Richmond Hill, Town (T)",1938,13
3557061,"Sault Ste. Marie, City (CY)",5761,15
3518020,"Scugog, Township (TP)",1820,11
3560034,"Sioux Lookout, Municipality (MU)",6034,7
3534021,"St. Thomas, City (CY)",3421,3
3531011,"Stratford, City (CY)",3111,6
3548069,"Temagami, Municipality (MU)",4869,6
3543068,"Tiny, Township (TP)",4368,7
3512001,"Tyendinaga, Township (TP)",1201,7
3518029,"Uxbridge, Township (TP)",1829,11
3519028,"Vaughan, City (CY)",1928,15
3530016,"Waterloo, City (CY)",3016,14
3518009,"Whitby, Town (T)",1809,13
3519044,"Whitchurch-Stouffville, Town (T)",1944,11
3537039,"Windsor, City (CY)",3739,23
3532042,"Woodstock, City (CY)",3242,7
